id,rate_unemployment,percent_college,percent_married,median_income,average_act,percent_lunch,year,state,LEAID,zip_code,school_type,school_level,charter,school_code,id_support,Tot_salary_exp,Tot_salary_exp_federal
120015003293,0.0919780011378722,0.536483445837351,0.560511643161692,42979.0,21.5445665445665,0.375537799631223,2016-2017,FL,1200150,32908,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015003296,0.0991080277502478,0.6939586645469,0.786802030456853,39558.0,26.2332112332112,0.0842872008324662,2016-2017,FL,1200150,32935,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015004244,0.113516113516114,0.677391677391677,0.753640776699029,66603.0,22.960927960928,0.0754048582995951,2016-2017,FL,1200150,32940,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120015007530,0.224315952503872,0.521924626688789,0.665893271461717,48565.0,19.2979242979243,0.47966573816156,2016-2017,FL,1200150,32907,Regular School,High,No,62.0,120015000062,425953.26,616449.96
120018000153,0.123298638911129,0.517125587642713,0.441,35256.0,20.5677655677656,0.57639569049951,2016-2017,FL,1200180,33020,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000157,0.11660777385159,0.62258876153201,0.405096660808436,42275.0,19.0781440781441,0.723174603174603,2016-2017,FL,1200180,33312,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000160,0.118674918092465,0.462140063988624,0.639219934994583,51500.0,19.3223443223443,0.584615384615385,2016-2017,FL,1200180,33024,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000168,0.310185185185185,0.257062146892655,0.157093425605536,15942.0,17.6862026862027,0.759882869692533,2016-2017,FL,1200180,33060,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000169,0.223759541984733,0.341088491898629,0.358877086494689,28779.0,18.8827838827839,0.789558665231432,2016-2017,FL,1200180,33311,Regular School,Other,No,141.0,120018000141,2704582.78,3374254.02
120018000171,0.113344051446945,0.460811756473058,0.420624151967436,25477.0,17.2710622710623,0.744514106583072,2016-2017,FL,1200180,33009,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000217,0.117365710080942,0.533711405166982,0.846036585365854,31934.0,21.3003663003663,0.569156626506024,2016-2017,FL,1200180,33305,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000225,0.197635135135135,0.493370551290998,0.560143626570916,45759.0,20.0549450549451,0.4826224328594,2016-2017,FL,1200180,33065,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000231,0.202110649184522,0.451375559820857,0.425430210325048,43669.0,18.4676434676435,0.640928725701944,2016-2017,FL,1200180,33334,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000234,0.0850327048864948,0.597447395653674,0.642857142857143,38598.0,21.5201465201465,0.415735567970205,2016-2017,FL,1200180,33314,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000241,0.0596926713947991,0.625744258576694,0.495787427090084,58329.0,19.0537240537241,0.562214089661482,2016-2017,FL,1200180,33313,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000247,0.0888888888888889,0.8683304647160071,0.982142857142857,84063.0,18.8339438339438,0.586289549376798,2016-2017,FL,1200180,33021,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000249,0.0860266159695817,0.714903846153846,0.759521218715996,59410.0,17.2466422466422,0.717485549132948,2016-2017,FL,1200180,33066,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000251,0.189372526851328,0.318916102136529,0.275316455696203,28689.0,20.1770451770452,0.608421052631579,2016-2017,FL,1200180,33441,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000252,0.153529814941741,0.641963727329581,0.311464968152866,36660.0,18.0525030525031,0.784886927744071,2016-2017,FL,1200180,33309,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
120018000253,0.172767203513909,0.616678346180799,0.423853211009174,50984.0,20.4945054945055,0.589792785878741,2016-2017,FL,1200180,33025,Regular School,High,No,141.0,120018000141,2704582.78,3374254.02
